transaction_id,timestamp,user_id,amount,currency,device_id,ip_address,ip_risk_score,country,city,latitude,longitude,merchant_category,account_age_days,failed_login_attempts,scenario,risk_score,decision,triggered_controls,control_points,explanation
TXN-000502,2026-04-02T23:43:07Z,U0006,696.02,USD,DEV-ATK-007,203.0.113.146,94.1,AU,Sydney,-33.8588,151.2086,gift_cards,40,3,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 30, ""Failed logins"": 10, ""High-risk merchant category"": 8}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60) [raw total 103 capped at 100]
Triggered controls:
  - Unusual transaction amount: +20 ($696.02 is 9.9x the user's median of $70.61)
  - New device: +15 (device DEV-ATK-007 not seen before for this user)
  - New country: +20 (AU not in previously seen countries (US))
  - High-risk IP: +30 (IP 203.0.113.146 reputation risk 94/100)
  - Failed logins: +10 (3 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'gift_cards')"
TXN-000509,2026-04-04T09:47:55Z,U0012,336.63,USD,DEV-ATK-009,198.51.100.94,92.6,SG,Singapore,1.2999,103.7936,gift_cards,257,3,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 30, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 30, ""Failed logins"": 10, ""High-risk merchant category"": 8}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60) [raw total 113 capped at 100]
Triggered controls:
  - Unusual transaction amount: +30 ($336.63 is 12.9x the user's median of $26.05)
  - New device: +15 (device DEV-ATK-009 not seen before for this user)
  - New country: +20 (SG not in previously seen countries (US))
  - High-risk IP: +30 (IP 198.51.100.94 reputation risk 93/100)
  - Failed logins: +10 (3 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'gift_cards')"
TXN-000510,2026-04-04T09:49:43Z,U0005,205.74,USD,DEV-ATK-006,203.0.113.135,94.5,GB,London,51.5446,-0.1305,crypto_exchange,678,6,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 12, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 30, ""Failed logins"": 15, ""High-risk merchant category"": 8}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +12 ($205.74 is 5.2x the user's median of $39.42)
  - New device: +15 (device DEV-ATK-006 not seen before for this user)
  - New country: +20 (GB not in previously seen countries (US))
  - High-risk IP: +30 (IP 203.0.113.135 reputation risk 94/100)
  - Failed logins: +15 (6 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'crypto_exchange')"
TXN-000580,2026-04-07T17:56:43Z,U0028,1248.8,USD,DEV-ATK-003,192.0.2.189,85.0,SG,Singapore,1.3391,103.8123,retail,1230,7,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 30, ""Failed logins"": 15}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +20 ($1,248.80 is 11.0x the user's median of $113.45)
  - New device: +15 (device DEV-ATK-003 not seen before for this user)
  - New country: +20 (SG not in previously seen countries (US))
  - High-risk IP: +30 (IP 192.0.2.189 reputation risk 85/100)
  - Failed logins: +15 (7 failed login attempts before this transaction)"
TXN-000597,2026-04-08T18:16:53Z,U0023,336.93,USD,DEV-ATK-001,203.0.113.18,96.0,DE,Berlin,52.4932,13.4268,crypto_exchange,61,7,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 30, ""Failed logins"": 15, ""High-risk merchant category"": 8}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60) [raw total 108 capped at 100]
Triggered controls:
  - Unusual transaction amount: +20 ($336.93 is 11.8x the user's median of $28.64)
  - New device: +15 (device DEV-ATK-001 not seen before for this user)
  - New country: +20 (DE not in previously seen countries (US))
  - High-risk IP: +30 (IP 203.0.113.18 reputation risk 96/100)
  - Failed logins: +15 (7 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'crypto_exchange')"
TXN-000643,2026-04-13T15:40:15Z,U0026,2630.61,USD,DEV-ATK-005,192.0.2.40,83.3,NG,Lagos,6.4751,3.4165,retail,449,7,account_takeover,100,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins,"{""Unusual transaction amount"": 30, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 20, ""Failed logins"": 15}","Risk score: 100/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +30 ($2,630.61 is 14.7x the user's median of $178.72)
  - New device: +15 (device DEV-ATK-005 not seen before for this user)
  - New country: +20 (NG not in previously seen countries (US))
  - High-risk IP: +20 (IP 192.0.2.40 reputation risk 83/100)
  - Failed logins: +15 (7 failed login attempts before this transaction)"
TXN-000608,2026-04-09T22:32:47Z,U0055,155.33,USD,DEV-ATK-011,192.0.2.106,80.6,DE,Berlin,52.4608,13.4038,retail,383,5,account_takeover,97,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Implausible travel; Failed logins,"{""Unusual transaction amount"": 12, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 20, ""Implausible travel"": 15, ""Failed logins"": 15}","Risk score: 97/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +12 ($155.33 is 5.1x the user's median of $30.18)
  - New device: +15 (device DEV-ATK-011 not seen before for this user)
  - New country: +20 (DE not in previously seen countries (US))
  - High-risk IP: +20 (IP 192.0.2.106 reputation risk 81/100)
  - Implausible travel: +15 (7,083 km in 9.5 h (~747 km/h))
  - Failed logins: +15 (5 failed login attempts before this transaction)"
TXN-000526,2026-04-04T20:21:14Z,U0014,777.78,USD,DEV-ATK-002,198.51.100.150,74.0,GB,London,51.519,-0.1281,wire_transfer,1512,3,account_takeover,93,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 20, ""Failed logins"": 10, ""High-risk merchant category"": 8}","Risk score: 93/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +20 ($777.78 is 11.4x the user's median of $68.27)
  - New device: +15 (device DEV-ATK-002 not seen before for this user)
  - New country: +20 (GB not in previously seen countries (US))
  - High-risk IP: +20 (IP 198.51.100.150 reputation risk 74/100)
  - Failed logins: +10 (3 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'wire_transfer')"
TXN-000527,2026-04-04T20:24:14Z,U0014,645.27,USD,DEV-ATK-002,198.51.100.150,74.0,GB,London,51.5424,-0.1658,wire_transfer,1512,3,account_takeover,93,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 20, ""Failed logins"": 10, ""High-risk merchant category"": 8}","Risk score: 93/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +20 ($645.27 is 9.5x the user's median of $68.27)
  - New device: +15 (device DEV-ATK-002 not seen before for this user)
  - New country: +20 (GB not in previously seen countries (US))
  - High-risk IP: +20 (IP 198.51.100.150 reputation risk 74/100)
  - Failed logins: +10 (3 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'wire_transfer')"
TXN-000541,2026-04-05T23:13:11Z,U0051,213.87,USD,DEV-ATK-000,192.0.2.190,72.7,AU,Sydney,-33.8175,151.1792,crypto_exchange,1334,3,account_takeover,93,BLOCK,Unusual transaction amount; New device; New country; High-risk IP; Failed logins; High-risk merchant category,"{""Unusual transaction amount"": 20, ""New device"": 15, ""New country"": 20, ""High-risk IP"": 20, ""Failed logins"": 10, ""High-risk merchant category"": 8}","Risk score: 93/100 -> BLOCK (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - Unusual transaction amount: +20 ($213.87 is 8.8x the user's median of $24.36)
  - New device: +15 (device DEV-ATK-000 not seen before for this user)
  - New country: +20 (AU not in previously seen countries (US))
  - High-risk IP: +20 (IP 192.0.2.190 reputation risk 73/100)
  - Failed logins: +10 (3 failed login attempts before this transaction)
  - High-risk merchant category: +8 (category 'crypto_exchange')"
