transaction_id,timestamp,user_id,amount,currency,device_id,ip_address,ip_risk_score,country,city,latitude,longitude,merchant_category,account_age_days,failed_login_attempts,scenario,risk_score,decision,triggered_controls,control_points,explanation
TXN-000001,2026-03-02T06:23:43Z,U0053,89.58,USD,DEV-U0053-0,198.51.100.79,12.2,US,San Francisco,37.7736,-122.3908,peer_transfer,613,1,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000002,2026-03-02T09:15:09Z,U0002,52.8,USD,DEV-U0002-0,203.0.113.41,19.8,AU,Sydney,-33.8911,151.237,peer_transfer,1268,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000003,2026-03-02T09:53:02Z,U0026,256.32,USD,DEV-U0026-0,203.0.113.206,6.4,US,Seattle,47.6044,-122.3453,subscriptions,407,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000004,2026-03-02T11:16:11Z,U0014,24.82,USD,DEV-U0014-1,192.0.2.35,19.6,US,New York,40.7205,-74.0574,utilities,1479,1,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000005,2026-03-02T13:31:30Z,U0034,49.28,USD,DEV-U0034-1,203.0.113.121,13.7,US,Chicago,41.8733,-87.5873,groceries,751,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000006,2026-03-02T14:59:06Z,U0013,22.34,USD,DEV-U0013-0,198.51.100.61,14.7,US,Houston,29.7747,-95.3694,utilities,488,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000007,2026-03-02T15:46:19Z,U0036,11.74,USD,DEV-U0036-1,192.0.2.118,0.6,CA,Toronto,43.661,-79.3204,subscriptions,5,1,normal,10,ALLOW,New account,"{""New account"": 10}","Risk score: 10/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - New account: +10 (account is 5 days old)"
TXN-000008,2026-03-02T16:20:44Z,U0047,32.58,USD,DEV-U0047-1,203.0.113.190,10.3,US,Chicago,41.9209,-87.6054,travel,110,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000009,2026-03-02T16:42:32Z,U0051,38.17,USD,DEV-U0051-0,198.51.100.122,2.1,US,Seattle,47.6016,-122.3163,utilities,1300,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000010,2026-03-02T21:02:09Z,U0052,67.14,USD,DEV-U0052-0,198.51.100.251,0.5,US,Boston,42.3582,-71.0992,subscriptions,1130,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000011,2026-03-02T23:07:22Z,U0051,35.91,USD,DEV-U0051-0,198.51.100.122,2.1,US,Seattle,47.5989,-122.2809,utilities,1300,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000012,2026-03-03T07:32:13Z,U0004,67.67,USD,DEV-U0004-0,198.51.100.184,9.8,CA,Toronto,43.6741,-79.3799,travel,7,0,normal,5,ALLOW,New account,"{""New account"": 5}","Risk score: 5/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - New account: +5 (account is 7 days old)"
TXN-000013,2026-03-03T09:07:26Z,U0051,17.75,USD,DEV-U0051-0,198.51.100.122,2.1,US,Seattle,47.6031,-122.3052,retail,1301,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000014,2026-03-03T09:25:40Z,U0047,26.64,USD,DEV-U0047-1,203.0.113.1,8.4,US,Chicago,41.9036,-87.6346,retail,111,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000015,2026-03-03T10:34:41Z,U0016,60.49,USD,DEV-U0016-0,198.51.100.47,13.5,US,New York,40.7238,-74.0146,restaurants,4,0,normal,10,ALLOW,New account,"{""New account"": 10}","Risk score: 10/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - New account: +10 (account is 4 days old)"
TXN-000016,2026-03-03T11:10:03Z,U0050,100.31,USD,DEV-U0050-0,192.0.2.171,7.6,US,Los Angeles,33.9955,-118.2285,groceries,1325,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000017,2026-03-03T13:11:06Z,U0027,128.8,USD,DEV-U0027-0,203.0.113.36,8.8,US,Chicago,41.851,-87.6376,subscriptions,909,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000018,2026-03-03T13:12:56Z,U0035,75.8,USD,DEV-U0035-0,203.0.113.79,3.0,GB,London,51.4964,-0.1496,groceries,520,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000019,2026-03-03T14:39:46Z,U0042,86.76,USD,DEV-U0042-0,198.51.100.96,13.9,US,San Francisco,37.746,-122.4348,travel,267,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000020,2026-03-03T14:58:57Z,U0013,8.58,USD,DEV-U0013-1,203.0.113.40,5.8,US,Houston,29.7774,-95.4479,peer_transfer,489,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000021,2026-03-03T15:41:37Z,U0043,64.72,USD,DEV-U0043-0,198.51.100.26,19.9,GB,London,51.4843,-0.1773,gift_cards,15,0,normal,13,ALLOW,New account; High-risk merchant category,"{""New account"": 5, ""High-risk merchant category"": 8}","Risk score: 13/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60)
Triggered controls:
  - New account: +5 (account is 15 days old)
  - High-risk merchant category: +8 (category 'gift_cards')"
TXN-000022,2026-03-03T16:32:46Z,U0048,54.81,USD,DEV-U0048-0,203.0.113.95,17.8,US,Boston,42.3742,-71.0313,retail,196,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
TXN-000023,2026-03-03T16:42:12Z,U0032,34.99,USD,DEV-U0032-0,198.51.100.247,17.3,US,Chicago,41.8878,-87.5927,subscriptions,63,0,normal,0,ALLOW,,{},"Risk score: 0/100 -> ALLOW (REVIEW >= 30, BLOCK >= 60). No risk controls triggered."
